Timestamp,Temperature
2026-07-14 15:20:18,77.0
2026-07-14 15:20:20,26.0
2026-07-14 15:20:26,31.0
2026-07-14 15:20:31,97.0
2026-07-14 15:20:38,83.0
2026-07-14 15:20:41,43.0
2026-07-14 15:20:46,20.0
2026-07-14 15:20:50,65.0
2026-07-14 15:20:56,82.0
2026-07-14 15:21:01,62.0
2026-07-14 15:21:06,67.0
2026-07-14 15:21:11,70.0
2026-07-14 15:21:16,35.0
2026-07-14 15:21:21,98.0
2026-07-14 15:21:26,81.0
2026-07-14 15:21:32,69.0
2026-07-14 15:21:36,82.0
2026-07-14 15:21:41,52.0
2026-07-14 15:21:46,42.0
2026-07-14 15:21:56,98.0
2026-07-14 15:22:06,40.0
2026-07-14 15:22:12,91.0
2026-07-14 15:22:17,47.0
2026-07-14 15:22:21,48.0
2026-07-14 15:22:27,49.0
2026-07-14 15:22:32,22.0
2026-07-14 15:22:38,18.0
2026-07-14 15:22:42,90.0
2026-07-14 15:22:47,70.0
2026-07-14 15:22:52,56.0
2026-07-14 15:22:57,67.0
2026-07-14 15:23:02,3.0
2026-07-14 15:23:07,74.0
2026-07-14 15:23:12,56.0
2026-07-14 15:23:17,80.0
2026-07-14 15:23:22,78.0
2026-07-14 15:23:27,58.0
2026-07-14 15:23:33,74.0
2026-07-14 15:23:37,76.0
2026-07-14 15:23:41,95.0
2026-07-14 15:23:46,59.0
2026-07-14 15:23:52,33.0
2026-07-14 15:23:57,75.0
2026-07-14 15:24:02,79.0
2026-07-14 15:24:08,69.0
2026-07-14 15:24:13,14.0
2026-07-14 15:24:18,2.0
2026-07-14 15:24:22,69.0
2026-07-14 15:24:27,54.0
2026-07-14 15:24:33,70.0
2026-07-14 15:24:37,41.0
2026-07-14 15:24:42,20.0
2026-07-14 15:24:48,57.0
2026-07-14 15:24:53,83.0
2026-07-14 15:24:58,68.0
2026-07-14 15:25:02,45.0
2026-07-14 15:25:08,95.0
2026-07-14 15:25:13,54.0
2026-07-14 15:25:18,89.0
2026-07-14 15:25:22,26.0
2026-07-14 15:25:28,51.0
2026-07-14 15:25:33,82.0
2026-07-14 15:25:38,97.0
2026-07-14 15:25:42,72.0
2026-07-14 15:25:48,91.0
2026-07-14 15:25:53,12.0
2026-07-14 15:25:57,80.0
2026-07-14 15:26:02,83.0
2026-07-14 15:26:08,86.0
2026-07-14 15:26:13,54.0
2026-07-14 15:26:18,35.0
2026-07-14 15:26:24,54.0
2026-07-14 15:26:30,40.0
2026-07-14 15:26:34,34.0
2026-07-14 15:29:09,36.0
2026-07-14 15:29:14,83.0
2026-07-14 15:29:19,60.0
2026-07-14 15:29:23,99.0
2026-07-14 15:29:30,74.0
2026-07-14 15:29:34,84.0
2026-07-14 15:29:39,82.0
2026-07-14 15:29:44,12.0
2026-07-14 15:29:49,54.0
2026-07-14 15:29:54,18.0
2026-07-14 15:30:00,68.0
2026-07-14 15:30:04,78.0
2026-07-14 15:30:10,85.0
2026-07-14 15:30:14,93.0
2026-07-14 15:30:19,65.0
2026-07-14 15:30:24,26.0
2026-07-14 15:30:30,37.0
2026-07-14 15:30:34,32.0
2026-07-14 15:30:39,89.0
2026-07-14 15:30:44,61.0
2026-07-14 15:30:50,48.0
2026-07-14 15:30:55,27.0
2026-07-14 15:30:59,30.0
2026-07-14 15:31:04,45.0
2026-07-14 15:31:10,31.0
2026-07-14 15:31:15,30.0
2026-07-14 15:31:20,95.0
2026-07-14 15:31:24,32.0
